Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
1,1.686,1.068,Nonlinear Dynamics Turbulence,G,1.060A
1,1.69,1.69,Intro to Coastal Engineering,G,1.061
1,1.692,2.24,Ocean Waves & Energy Systems,G,"2.20, 18.085"
1,1.699,2.689,Projects in Ocean Engr,G,Permission of instructor
1,1.714,1.714,Surface Hydrology,G,1.070B or permission of instructor
1,1.72,1.072,Groundwater Hydrology,G,1.061
1,1.721,1.721,Advanced Subsurface Hydrology,G,"1.72, 18.075, permission of instructor"
1,1.723,1.723,Computational Methods,G,Permission of instructor
1,1.731,1.075,Water Resource Systems,G,1.070B or permission of instructor
1,1.74,1.74,"Land, Water, Food, and Climate",G,
1,1.76,1.76,Aquatic Chemistry,G,GIR:CHEM or 5.60
1,1.77,1.77,Water Quality Control,G,1.060B
1,1.78,1.78,Intro to Soil Science,G,
1,1.801,IDS.060,Environmental Law: Pollution,U,
1,1.802,IDS.061,"Regulatn of Chem, Rad, Biotech",U,1.801 or permission of instructor
1,1.811,IDS.060,Environmental Law: Pollution,G,
1,1.812,IDS.061,"Regulatn of Chem, Rad, Biotech",G,1.811 or permission of instructor
1,1.813,IDS.437,"Tech, Glblztn, & Sustain Dev",G,Permission of instructor
1,1.818,22.081,Sustainable Energy,G,Permission of instructor
1,1.83,1.83,Environmental Organic Chem,G,"5.60, 18.03"
1,1.831,1.83,Environmental Organic Chem,G,"5.60, 18.03"
1,1.84,1.84,Atmospheric Chemistry,G,5.6
1,1.841,1.841,Atmospheric Composition,G,1.84
1,1.842,12.338,Aerosol Cloud Microphys & Chem,G,Permission of instructor
1,1.851,1.851,"Water, Sanitation, Hygiene",G,
1,1.86,7.492,Meth& Problems in Microbiology,G,
1,1.87,7.493,Microbial Genetics and Evol,G,"7.03, 7.05, or permission of instructor"
1,1.871,1.871,Computational Ecology,G,
1,1.873,1.087,Fund of Network & Comm Ecology,G,18.06
1,1.89,1.089,Environmental Microbiology,G,GIR:BIOL
1,1.899,1.899,Career Reengring Prgrm Wkshps,G,Permission of instructor
1,1.95,5.95,Teach College-Level Sci & Engr,G,
1,1.968,1.968,Grad Studies: Civil & Env Engr,G,Permission of instructor
1,1.982,1.982,Research in Civil & Envir Engr,G,
1,1.984,1.984,Teaching in Civil & Envir Engr,G,Permission of instructor
1,1.999,1.999,Ugrad Studies: Civil &Env Engr,U,
1,1.EPE,2.EPE,UPOP Engineer Practice Exp,U,2.EPW or permission of instructor
1,1.EPW,2.EPW,UPOP Engr Practice Wrkshp,U,
1,1.S82,1.S82,Spec Prob Envir Mcrobio & Chem,G,Permission of instructor
1,1.S977,1.S977,Sp Grad Subj: Civ & Envir Engr,G,Permission of instructor
1,1.S978,1.S978,Sp Grad Subj: Civ & Envir Engr,G,Permission of Instructor
1,1.S979,1.S979,Sp Grad Subj: Civ & Envir Engr,G,Permission of instructor
1,1.S980,1.S980,Sp Grad Subj: Civ & Envir Engr,G,Permission of instructor
1,1.S981,1.S981,Sp Grad Subj: Civ & Envir Engr,G,Permission of Instructor
1,1.S982,1.S982,Sp Grad Subj: Civ & Envir Engr,G,Permission of Instructor
1,1.S991,1.S991,Spec Subj: Civil & Envir Engr,U,Permission of instructor
1,1.S992,1.S992,Spec Subj: Civil & Envir Engr,U,Permission of instructor
1,1.S993,1.S993,Spec Subj: Civil & Envir Engr,U,Permission of instructor
1,1.THG,1.THG,Thesis,G,Permission of instructor
1,1.THU,1.THU,Thesis,U,Permission of instructor
1,1.UR,1.UR,Undergraduate Research,U,
1,1.URG,1.URG,URG: Rsrch in Civil & Env Engr,U,
2,2,2,Introduction to Design,U,
2,2.001,2.001,Mechanics and Materials I,U,GIR:PHY1; [18.03 or 2.087]
2,2.002,2.002,Mechanics and Materials II,U,2.001; GIR:CHEM
2,2.003,2.003,Dynamics and Control I,U,Physics II; [18.03 or 2.087]
2,2.004,2.004,Dynamics and Control II,U,"2.003, GIR:PHY2"
2,2.005,2.005,Thermal-Fluids Engineering I,U,"GIR:PHY2, GIR:CAL2; 2.086, 6.0002, or 18.06; or permission of instructor"
2,2.006,2.006,Thermal-Fluids Engineering II,U,"2.005; or 2.051, 2.06"
2,2.007,2.007,Design and Manufacturing I,U,2.001; 2.670; [2.086]
2,2.008,2.008,Design and Manufacturing II,U,2.007 or [2.017; 2.005 or 2.051]
2,2.009,2.009,Product Engineering Process,U,"2.001; 2.003; 2.005 or 2.051; 2.670, 2.678 or 2.00B"
2,2.00A,2.00A,Fundamental Engineering Design,U,"GIR:PHY1, GIR:CAL1"
2,2.00B,2.00B,Toy Product Design,U,
2,2.00C,2.00C,Design for Envir Issues,U,
2,2.013,2.013,Engineering Systems Design,U,"2.001; 2.003; 2.005 or 2.051; 2.670, 2.678 or 2.00B; or permission of instructor"
2,2.014,2.014,Engr Systems Development,U,"2.001; 2.003; 2.005 or 2.051; 2.670, 2.678 or 2.00B; or permission of instructor"
2,2.016,2.016,Hydrodynamics,U,2.001
2,2.017,2.017,Design Electromech Robotic Sys,U,"2.003; [2.005, 2.05 and 2.051, or 2.016; 2.671]"
2,2.019,2.019,Design of Ocean Systems,U,2.001; 2.003; 2.005 or 2.016
2,2.02A,2.02A,Engineering Materials,U,2.001
2,2.032,2.032,Dynamics,G,2.003
2,2.033,1.068,Nonlinear Dynamics Turbulence,G,1.060A
2,2.034,2.034,Nonlinear Dynamics,G,Permission of instructor
2,2.036,18.385,Nonlinear Dynamics & Chaos,G,18.03 or 18.032
2,2.04A,2.04A,Systems and Controls,U,[2.003]
2,2.05,2.05,Thermodynamics,U,2.001
2,2.05,12.006,Nonlinear Dynamics: Chaos,U,18.03 or 18.032; GIR:PHY2
2,2.051,2.051,Introduction to Heat Transfer,U,2.05
2,2.06,2.06,Fluid Dynamics,U,2.001
2,2.06,1.058,Struct Dynamics,G,18.03 or permission of instructor
2,2.062,2.062,Wave Propagation,G,"2.003, 18.075"
2,2.065,2.065,Acoustics and Sensing,U,"2.003, 6.003, 8.03, or 16.003"
2,2.066,2.065,Acoustics and Sensing,G,"2.003, 6.003, 8.03, 16.003, or permission of instructor"
2,2.071,2.071,Mechanics of Solid Materials,G,2.002 or 2.02A
2,2.072,2.072,Mechanics of Continuous Media,G,2.071
2,2.073,2.073,Inelastic Deformation,G,2.071
2,2.074,2.074,Solid Mechanics: Elasticity,G,"2.002, 18.03"
