Id,Label,timeset,indegree,outdegree,Degree,modularity_class
10.568,10.568,,8,0,8,0
21G.717,21G.717,,0,1,1,3
10.569,10.569,,4,0,4,0
15.S67,15.S67,,8,0,8,2
15.S68,15.S68,,8,0,8,2
2.72,2.72,,4,0,4,4
15.S73,15.S73,,8,0,8,2
15.S74,15.S74,,8,0,8,2
24.401,24.401,,8,0,8,2
21G.716,21G.716,,0,1,1,3
15.URG,15.URG,,0,0,0,0
21G.740,21G.740,,0,1,1,3
HST.962,HST.962,,8,0,8,2
12.474,12.474,,8,0,8,2
21M.863,21M.863,,8,0,8,2
21M.864,21M.864,,8,0,8,2
21M.865,21M.865,,8,0,8,2
21M.S53,21M.S53,,8,0,8,2
21M.S54,21M.S54,,8,0,8,2
21M.THT,21M.THT,,8,0,8,2
21M.THU,21M.THU,,6,0,6,1
CC.220,CC.220,,0,0,0,0
21M.UR,21M.UR,,0,0,0,0
10.586,10.586,,5,0,5,0
21M.URG,21M.URG,,0,0,0,0
21W.756,21W.756,,0,0,0,0
21W.757,21W.757,,6,0,6,0
21W.758,21W.758,,8,0,8,2
21W.759,21W.759,,0,0,0,0
21W.760,21W.760,,0,0,0,0
21W.761,21W.761,,0,0,0,0
21W.762,21W.762,,0,0,0,0
21W.763,21W.763,,0,0,0,0
15.S60,15.S60,,8,0,8,2
21W.764,21W.764,,0,0,0,0
CMS.612,CMS.612,,0,0,0,0
CMS.616,CMS.616,,0,0,0,0
5.111,5.111,,0,0,0,0
21W.770,21W.770,,8,0,8,2
20.930,20.930,,0,0,0,0
7.932,7.932,,8,0,8,2
7.933,7.933,,8,0,8,2
7.934,7.934,,8,0,8,2
7.935,7.935,,8,0,8,2
7.941,7.941,,8,0,8,2
7.942,7.942,,8,0,8,2
7.MTHG,7.MTHG,,8,0,8,2
7.S392,7.S392,,8,0,8,2
2.URG,2.URG,,0,0,0,0
7.S930,7.S930,,8,0,8,2
7.S932,7.S932,,8,0,8,2
7.S939,7.S939,,8,0,8,2
7.UR,7.UR,,0,0,0,0
7.THU,7.THU,,0,0,0,0
7.URG,7.URG,,0,0,0,0
8.011,8.011,,0,0,0,0
8.01L,8.01L,,0,0,0,0
CC.A10,CC.A10,,0,4,4,4
8.021,8.021,,3,0,3,4
6.215,6.215,,5,0,5,0
HST.S14,HST.S14,,0,0,0,0
8.022,8.022,,2,0,2,4
12.473,12.473,,10,0,10,4
21W.771,21W.771,,0,0,0,0
21W.777,21W.777,,0,0,0,0
21W.775,21W.775,,0,0,0,0
21W.778,21W.778,,0,0,0,0
21W.786,21W.786,,0,0,0,0
